"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
2007	6	19	130	13734	"J01"
2007	7	20	137	14032	"J01"
2007	8	21	144	14176	"J01"
2007	9	22	151	14525	"J01"
2007	10	23	158	14809	"J01"
2007	11	24	165	14552	"J01"
2007	12	25	172	14429	"J01"
2007	13	26	179	14486	"J01"
2007	14	27	186	14803	"J01"
2007	15	28	193	15120	"J01"
2007	16	29	200	15390	"J01"
2007	17	30	207	15628	"J01"
2007	18	31	214	15836	"J01"
2007	19	32	221	15833	"J01"
2007	20	33	228	15605	"J01"
2007	21	34	235	15387	"J01"
2007	22	35	242	15140	"J01"
2007	23	36	249	14851	"J01"
2007	24	37	256	14311	"J01"
2007	25	38	263	14123	"J01"
2007	26	39	270	14132	"J01"
2007	27	40	277	14142	"J01"
2007	28	41	284	13804	"J01"
2008	1	16	109	12085	"J01"
2008	2	17	116	12097	"J01"
2008	3	18	123	12599	"J01"
2008	4	19	130	12741	"J01"
2008	5	20	137	12884	"J01"
2008	6	21	144	13258	"J01"
2008	7	22	151	13632	"J01"
2008	8	23	158	14035	"J01"
2008	9	24	165	14438	"J01"
2008	10	25	172	14997	"J01"
2008	11	26	179	14275	"J01"
2008	12	27	186	14960	"J01"
2008	13	28	193	15646	"J01"
2008	14	29	200	15652	"J01"
2008	15	30	207	15658	"J01"
2008	16	31	214	11925	"J01"
2008	17	32	221	11874	"J01"
2008	18	33	228	13643	"J01"
2008	19	34	235	15413	"J01"
2008	20	35	242	14520	"J01"
2008	21	36	249	14504	"J01"
2008	22	37	256	13668	"J01"
2008	23	38	263	14090	"J01"
2008	24	39	270	14512	"J01"
2008	25	40	277	13448	"J01"
2008	26	41	284	12385	"J01"
2009	1	15	102	11762	"J01"
2009	2	16	109	12575	"J01"
2009	3	17	116	12603	"J01"
2009	4	18	123	12453	"J01"
2009	5	19	130	12014	"J01"
2009	6	20	137	11575	"J01"
2009	7	21	144	11842	"J01"
2009	8	22	151	12110	"J01"
2009	9	23	158	12988	"J01"
2009	10	24	165	13018	"J01"
2009	11	25	172	13049	"J01"
2009	12	26	179	14335	"J01"
2009	13	27	186	14907	"J01"
2009	14	28	193	15480	"J01"
2009	15	29	200	15300	"J01"
2009	16	30	207	15120	"J01"
2009	17	31	214	15117	"J01"
2009	18	32	221	15122	"J01"
2009	19	33	228	15127	"J01"
2009	20	34	235	15046	"J01"
2009	21	35	242	15097	"J01"
2009	22	36	249	15148	"J01"
2009	23	37	256	15075	"J01"
2009	24	38	263	15030	"J01"
2009	25	39	270	14985	"J01"
2009	26	40	277	12857	"J01"
2009	27	41	284	13011	"J01"
2009	28	42	291	13166	"J01"
2010	1	16	109	10520	"J01"
2010	2	17	116	10215	"J01"
2010	3	18	123	10241	"J01"
2010	4	19	130	10432	"J01"
2010	5	20	137	11668	"J01"
2010	6	21	144	11754	"J01"
2010	7	22	151	13031	"J01"
2010	8	23	158	14309	"J01"
2010	9	24	165	14513	"J01"
2010	10	25	172	14717	"J01"
2010	11	26	179	14774	"J01"
2010	12	27	186	14996	"J01"
2010	13	28	193	15998	"J01"
2010	14	29	200	15267	"J01"
2010	15	30	207	14537	"J01"
2010	16	31	214	14341	"J01"
2010	17	32	221	14600	"J01"
2010	18	33	228	14859	"J01"
2010	19	34	235	14933	"J01"
2010	20	35	242	15007	"J01"
2010	21	36	249	15258	"J01"
2010	22	37	256	14856	"J01"
2010	23	38	263	14454	"J01"
2010	24	39	270	14292	"J01"
2010	25	40	277	14131	"J01"
2010	26	41	284	14131	"J01"
2011	1	16	109	12484	"J01"
2011	2	17	116	12581	"J01"
2011	3	18	123	12131	"J01"
2011	4	19	130	12676	"J01"
2011	5	20	137	13221	"J01"
2011	6	21	144	13167	"J01"
2011	7	22	151	13114	"J01"
2011	8	23	158	13684	"J01"
2011	9	24	165	14125	"J01"
2011	10	25	172	14566	"J01"
2011	11	26	179	13240	"J01"
2011	12	27	186	13934	"J01"
2011	13	28	193	14628	"J01"
2011	14	29	200	15504	"J01"
2011	15	30	207	16380	"J01"
2011	16	31	214	15747	"J01"
2011	17	32	221	15114	"J01"
2011	18	33	228	14391	"J01"
2011	19	34	235	13999	"J01"
2011	20	35	242	14569	"J01"
2011	21	36	249	15139	"J01"
2011	22	37	256	14839	"J01"
2011	23	38	263	14540	"J01"
2011	24	39	270	14499	"J01"
2011	25	40	277	14160	"J01"
2011	26	41	284	14031	"J01"
2012	1	16	109	10687	"J01"
2012	2	17	116	11417	"J01"
2012	3	18	123	12148	"J01"
2012	4	19	130	11838	"J01"
2012	5	20	137	12728	"J01"
2012	6	21	144	13619	"J01"
2012	7	22	151	14043	"J01"
2012	8	23	158	14672	"J01"
2012	9	24	165	15415	"J01"
2012	10	25	172	15438	"J01"
2012	11	26	179	13781	"J01"
2012	12	27	186	13812	"J01"
2012	13	28	193	13844	"J01"
2012	14	29	200	14755	"J01"
2012	15	30	207	15607	"J01"
2012	16	31	214	14752	"J01"
2012	17	32	221	14790	"J01"
2012	18	33	228	15053	"J01"
2012	19	34	235	15231	"J01"
2012	20	35	242	15410	"J01"
2012	21	36	249	13706	"J01"
2012	22	37	256	14184	"J01"
2012	23	38	263	14663	"J01"
2012	24	39	270	14144	"J01"
2012	25	40	277	13545	"J01"
2012	26	41	284	13545	"J01"
2013	1	16	109	12402	"J01"
2013	2	17	116	12946	"J01"
2013	3	18	123	12025	"J01"
2013	4	19	130	12358	"J01"
2013	5	20	137	12692	"J01"
2013	6	21	144	12902	"J01"
2013	7	22	151	13113	"J01"
2013	8	23	158	13953	"J01"
2013	9	24	165	14757	"J01"
2013	10	25	172	14968	"J01"
2013	11	26	179	15180	"J01"
2013	12	27	186	15399	"J01"
2013	13	28	193	15267	"J01"
2013	14	29	200	15108	"J01"
2013	15	30	207	14986	"J01"
2013	16	31	214	14536	"J01"
2013	17	32	221	14655	"J01"
2013	18	33	228	14775	"J01"
2013	19	34	235	15856	"J01"
2013	20	35	242	15898	"J01"
2013	21	36	249	14992	"J01"
2013	22	37	256	14087	"J01"
2013	23	38	263	14256	"J01"
2013	24	39	270	14425	"J01"
2013	25	40	277	14129	"J01"
2013	26	41	284	13833	"J01"
2014	1	16	109	10565	"J01"
2014	2	17	116	9519	"J01"
2014	3	18	123	9510	"J01"
2014	4	19	130	9501	"J01"
2014	5	20	137	11530	"J01"
2014	6	21	144	11985	"J01"
2014	7	22	151	12441	"J01"
2014	8	23	158	13322	"J01"
2014	9	24	165	11668	"J01"
2014	10	25	172	13086	"J01"
2014	11	26	179	14504	"J01"
2014	12	27	186	14921	"J01"
2014	13	28	193	15277	"J01"
2014	14	29	200	14557	"J01"
2014	15	30	207	13840	"J01"
2014	16	31	214	12996	"J01"
2014	17	32	221	13582	"J01"
2014	18	33	228	14169	"J01"
2014	19	34	235	14739	"J01"
2014	20	35	242	14547	"J01"
2014	21	36	249	14000	"J01"
2014	22	37	256	12546	"J01"
2014	23	38	263	12104	"J01"
2014	24	39	270	12924	"J01"
2014	25	40	277	13745	"J01"
2014	26	41	284	13272	"J01"
2015	1	16	109	11814	"J01"
2015	2	17	116	11681	"J01"
2015	3	18	123	11549	"J01"
2015	4	19	130	11777	"J01"
2015	5	20	137	12006	"J01"
2015	6	21	144	12661	"J01"
2015	7	22	151	13317	"J01"
2015	8	23	158	13521	"J01"
2015	9	24	165	13726	"J01"
2015	10	25	172	12597	"J01"
2015	11	26	179	13164	"J01"
2015	12	27	186	13731	"J01"
2015	13	28	193	12869	"J01"
2015	14	29	200	12369	"J01"
2015	15	30	207	12808	"J01"
2015	16	31	214	13247	"J01"
2015	17	32	221	12671	"J01"
2015	18	33	228	12962	"J01"
2015	19	34	235	13253	"J01"
2015	20	35	242	14508	"J01"
2015	21	36	249	14823	"J01"
2015	22	37	256	14147	"J01"
2015	23	38	263	14209	"J01"
2015	24	39	270	14271	"J01"
2015	25	40	277	13643	"J01"
2015	26	41	284	13015	"J01"
2016	1	16	109	12387	"J01"
2016	2	17	116	12026	"J01"
2016	3	18	123	12120	"J01"
2016	4	19	130	12215	"J01"
2016	5	20	137	12359	"J01"
2016	6	21	144	12503	"J01"
2016	7	22	151	13970	"J01"
2016	8	23	158	14139	"J01"
2016	9	24	165	14309	"J01"
2016	10	25	172	14079	"J01"
2016	11	26	179	13850	"J01"
2016	12	27	186	14426	"J01"
